?c	?label	?d
<http://purl.obolibrary.org/obo/UBERON_2002291>	"fulcrum"^^<http://www.w3.org/2001/XMLSchema#string>	"Dermal bone that is typically associated with a fin. Arratia, G. 2009. Identifying patterns of diversity of the actinopterygian fulcra. Acta Zoologica (Stockholm) 90 (Suppl. 1): 220-235."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200132>	"tuber"@en	"Eminence or swelling on anatomical surface."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001831>	"pterosphenoid-orbitosphenoid joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint that articulates the pterosphenoid and orbitosphenoid. Pterosphenoid-orbitosphenoid joint is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000246>	"nucleus taeniae"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010559>	"retroarticular process of the palatoquadrate"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010195>	"lateral appendix"^^<http://www.w3.org/2001/XMLSchema#string>	"A small lateral diverticulum of the nasal cavity found in anuran larvae."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010602>	"granular gland"^^<http://www.w3.org/2001/XMLSchema#string>	"A gland that contains toxic secretions within the lumen. In frogs and salamanders, this is the larger of the two types of gland, the other being the mucuous gland[Kardong]"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005184>	"MiD2cl"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200107>	"obturator process of ischium"@en	"Process located on the ventral shaft of the ischium that denotes the attachment site of the pubio-ischio-femoralis externus."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010173>	"supernumerary tubercles"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000865>	"epileon"^^<http://www.w3.org/2001/XMLSchema#string>	"Dorsal extremity of the ilial shaft, which remains cartilaginous."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2007015>	"posterior presumptive neural plate"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010651>	"levator bulbi"^^<http://www.w3.org/2001/XMLSchema#string>	"One of the principal muscles used in swallowing."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005346>	"extrapancreatic duct"^^<http://www.w3.org/2001/XMLSchema#string>	"Portion of the pancreatic duct, external to the pancreas body that connects the pancreas with the hepatopancreatic ampulla."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005222>	"ventral larval melanophore stripe"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000835>	"sclerotome somite 28"^^<http://www.w3.org/2001/XMLSchema#string>	"Medial ventral region of the somite that will form vertebral cartilages. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002149>	"vertebral element 9"^^<http://www.w3.org/2001/XMLSchema#string>	"Vertebra that is posteriorly adjacent to vertebra 8."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001951>	"skin flap"^^<http://www.w3.org/2001/XMLSchema#string>	"Surface structure that is a portion of skin that projects or hangs from the body."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002078>	"hypural plate"^^<http://www.w3.org/2001/XMLSchema#string>	"Perichondrally ossified bone that results from the fusion of two or more hypurals and support a variable number of principal caudal lepidotrichia. The hypural plate is an unpaired median bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001819>	"dorsal fin proximal radial 2"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000106>	"extension"^^<http://www.w3.org/2001/XMLSchema#string>	"The posterior elongated region of the yolk cell that forms during the segmentation period. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002281>	"retractor posttemporalis"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000803>	"sulcus articularis lateralis"^^<http://www.w3.org/2001/XMLSchema#string>	"In a zygapophysis that has ridges and sulci, the lateral canal between the carina distalis and the carina medialis."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200010>	"ventral humeral ridge"@en	"A distinct bony ridge on ventralsurface of the humeral shaft that corresponds to the attachment site of the pectoralis muscle."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005276>	"inclinator muscle"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000796>	"imbricate neural arch"^^<http://www.w3.org/2001/XMLSchema#string>	"Overlapping neural arches that obscure the spinal cord dorsally."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005190>	"MiV1"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001223>	"basibranchial 1 bone"^^<http://www.w3.org/2001/XMLSchema#string>	"Basibranchial bone that is ventral, median, and associated with branchial arch 1 (pharyngeal arch 3). Typically develops in the anterior copula cartilage."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005218>	"CaD"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000627>	"posterior ceratohyal"^^<http://www.w3.org/2001/XMLSchema#string>	"Replacement bone that is bilaterally paired and articulates anteriorly with the anterior ceratohyal."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000164>	"fenestra lateralis nasi"^^<http://www.w3.org/2001/XMLSchema#string>	"Opening on the lateral side of the nasal capsule."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001581>	"ural centrum 2"^^<http://www.w3.org/2001/XMLSchema#string>	"A vertebral centrum that is located immediately posterior to ural centrum 1. Ural centrum 2 is an unpaired median bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000644>	"processus lingularis"^^<http://www.w3.org/2001/XMLSchema#string>	"Rod-shaped process that extends caudally from the inferior edge of the planum terminale."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010820>	"suboccular arch"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000464>	"obsolete premaxillary tooth"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005079>	"posterior mesencephalic central artery"^^<http://www.w3.org/2001/XMLSchema#string>	"Project dorsally from BCA to irrigate the caudal part of midbrain Isogai et al. 2001."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000864>	"epaxial region somite 1"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000182>	"suprabranchial fin"^^<http://www.w3.org/2001/XMLSchema#string>	"Paired fin that is a bilaterally paired anterior outgrowth located high on the side of the animal, not far behind the orbit, with the posterior extremity corresponding with the expected posterior end of the branchial region."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005272>	"immature gonad"^^<http://www.w3.org/2001/XMLSchema#string>	"Immature reproductive tissue that has not undergone final maturation into either testis or ovary. During gonadal development, the gonad may be transiently intersexual where there is a parallel presence of both oocytes and spermatocytes."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000336>	"preopercle vertical limb"^^<http://www.w3.org/2001/XMLSchema#string>	"A dermal bone that is the upper, vertical portion of the preopercle bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000350>	"epipleural"^^<http://www.w3.org/2001/XMLSchema#string>	"Epipleurals lie below the horizontal septum and are posteroventrally directed. There are ossified epipleurals in certain ostariophysans. In many lower elopocephalan teleosts including ostariophysans the epipleural bones develop an anterodorsal branch so that they are forked proximally."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001502>	"epiphyseal bar"^^<http://www.w3.org/2001/XMLSchema#string>	"Bilaterally paired medial bar of cartilage formed at midorbit through medial chondrification from triangles of cartilage that later form the junction of the taeniae marginales anterior, taeniae marginales posterior and the epiphyseal bar."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000087>	"cavum medius"^^<http://www.w3.org/2001/XMLSchema#string>	"Small accessory cavity located between the cavum principale and cavum inferius."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000807>	"carina distalis"^^<http://www.w3.org/2001/XMLSchema#string>	"In a zygapophysis that has ridges and sulci, the distal ridge."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000683>	"sinus nervi hypoglossi"^^<http://www.w3.org/2001/XMLSchema#string>	"Depression that houses the hypoglossus nerve and is located between the anterolateral process and the proximal part of the hyale."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010013>	"larval chondrocranium"^^<http://www.w3.org/2001/XMLSchema#string>	"Cartilaginous larval skull."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001657>	"upper pharyngeal 5 tooth"^^<http://www.w3.org/2001/XMLSchema#string>	"Tooth that is attached to the upper pharyngeal 5 tooth plate."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000313>	"anal inclinator"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001379>	"pharyngeal ectoderm"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010097>	"M. tarsalis posticus"^^<http://www.w3.org/2001/XMLSchema#string>	"Originates on the medial border of the ligamentum calcanei and inserts along the ventral surface of the tibiale."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002052>	"prootic depression"^^<http://www.w3.org/2001/XMLSchema#string>	"Shallow area that exists on the prootic."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000190>	"foramen orbitonasale mediale"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010501>	"duodeno-pancreatic artery"^^<http://www.w3.org/2001/XMLSchema#string>	"Major branch which supplies blood to pancreas and duodenum."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001636>	"pharyngobranchial 4 bone"^^<http://www.w3.org/2001/XMLSchema#string>	"Most posterior pharyngobranchial bone, located medial to the epibranchials."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001788>	"pelvic splint"^^<http://www.w3.org/2001/XMLSchema#string>	"Dermal bone that is located near the lateral margin of the pelvic fin, and lateral to pelvic-fin lepidotrichium 1."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001897>	"hypobranchial 4 element"^^<http://www.w3.org/2001/XMLSchema#string>	"Skeletal element that is ventral, bilaterally paired and articulates with a median skeletal element medially and with a ceratobranchial 4 element laterally."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005384>	"dorsal fin proximal radial 7"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001192>	"supraneural 3 bone"^^<http://www.w3.org/2001/XMLSchema#string>	"Supraneural bone that is located dorsal to vertebrae 3 and 4."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000639>	"commissure of the secondary gustatory nuclei"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002206>	"macula communis"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000668>	"hyoglossal sinus"^^<http://www.w3.org/2001/XMLSchema#string>	"Is the space along the anterior edge of the hyoid plate between the hyale and through which passes the hyoglossus muscle as it passes dorsally into the tongue."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2007008>	"ventral intermandibularis anterior"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001023>	"epaxial region somite 19"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200131>	"trochanteric shelf"@en	"Anatomical projection on the anterolateral region of the proximal end of the femur."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000839>	"sclerotome somite 9"^^<http://www.w3.org/2001/XMLSchema#string>	"Medial ventral region of the somite that will form vertebral cartilages. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005383>	"dorsal fin proximal radial 6"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001661>	"basibranchial tooth plate"^^<http://www.w3.org/2001/XMLSchema#string>	"Pharyngeal tooth plate that lies dorsal to basibranchials 1-3."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001542>	"pelvic radial 1 cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Small cartilage that forms at the posterior and lateral edge of the basipterygium."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001931>	"infranuchal scute"^^<http://www.w3.org/2001/XMLSchema#string>	"Scute that is an elongated plate associated with a ligament running between posterior nuchal plate and rib on vertebra 6. Infranuchal scute is paired and develops from its associated ligament and sensory canal tubular ossicle."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000497>	"pelvic adductor profundus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000680>	"manubrium of hyale"^^<http://www.w3.org/2001/XMLSchema#string>	"Proximal section of the hyale."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010146>	"lacrimal"^^<http://www.w3.org/2001/XMLSchema#string>	"Investing bone associated with nasolacrimal duct and lying between pars facialis of maxilla and prefrontal and sometimes nasal."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000282>	"margo orbitalis of pterygoid"^^<http://www.w3.org/2001/XMLSchema#string>	"Margin that connects the anterior and medial rami of the pterygoid."^^<http://www.w3.org/2001/XMLSchema#string>
